PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門
235.0,0.0,1.0,1.0,3.0,14.0,6.0,0.0,0.0,0.0,1.0,1.0,19.0,3.0,5.0,3.0,6.0,0.0,1.0,3.0,34.0,3.0,1.0,1.0,6.0,5.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,8.0,14193.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,2.0,1.0,5.0,6.0,2.0,0.0,1.0,23.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,1.0,3.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,8.0,14040.0
2424.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,2.0,12.0,1.0,7.0,7.0,1.0,1.0,3.0,2.0,8.0,14040.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,1.0,0.0,3.0,6.0,5.0,2.0,12.0,1.0,7.0,7.0,1.0,1.0,3.0,2.0,8.0,14040.0
6319.0,0.0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,5.0,6.0,5.0,0.0,2.0,1.0,16.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,8.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,9.0,14077.0,0.0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,3.0,1.0,9.0,5.0,0.0,0.0,2.0,20.0,0.0,0.0,1.0,8.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,8.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,9.0,14077.0
7108.0,0.0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,2.0,0.0,2.0,10.0,1.0,2.0,6.0,1.0,4.0,4.0,0.0,0.0,8.0,2.0,8.0,8074.0,0.0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,8.0,2.0,8.0,8074.0
4003.0,0.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,5.0,8.0,2.0,4.0,2.0,5.0,1.0,3.0,0.0,8.0,10011.0,0.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,2.0,8.0,2.0,4.0,1.0,5.0,1.0,3.0,0.0,8.0,10011.0
271.0,0.0,0.0,2.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,9.0,1.0,5.0,4.0,2.0,1.0,9.0,2.0,8.0,17047.0,0.0,0.0,2.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,8.0,1.0,5.0,4.0,2.0,1.0,9.0,2.0,8.0,17047.0
3825.0,0.0,0.0,1.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,2.0,4.0,2.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,5.0,7.0,5.0,7.0,2.0,4.0,4.0,1.0,1.0,8.0,2.0,8.0,8157.0,0.0,0.0,1.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,7.0,2.0,4.0,4.0,1.0,1.0,8.0,1.0,8.0,8157.0
4216.0,0.0,1.0,1.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,2.0,6.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,1.0,2.0,6.0,1.0,5.0,11.0,1.0,6.0,1.0,9.0,5.0,3.0,0.0,8.0,13168.0,0.0,1.0,1.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,5.0,6.0,0.0,0.0,7.0,4.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,5.0,11.0,1.0,6.0,1.0,9.0,5.0,3.0,0.0,8.0,13168.0
4699.0,0.0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,1.0,6.0,1.0,0.0,3.0,20.0,2.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,4.0,6.0,1.0,2.0,2.0,0.0,1.0,8.0,2.0,8.0,14053.0,0.0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,23.0,2.0,0.0,1.0,4.0,6.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,0.0,1.0,8.0,1.0,8.0,14053.0
1513.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,6.0,5.0,0.0,1.0,13.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,5.0,5.0,2.0,3.0,3.0,0.0,0.0,6.0,0.0,8.0,20069.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,0.0,6.0,3.0,0.0,2.0,15.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,5.0,5.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,8.0,20069.0
